# https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population,
2019 rank;Name;State;2019 estimate;Land area,
249;Murrieta;?alifornia;116 223;87,
250;Palm Bay;?lorida;115 552;170,2
251;El Monte;?alifornia;115 487;24,9
252;Carlsbad;?alifornia;115 382;97,6
252;North Charleston;?outh Carolina;115 382;190,9
254;Temecula;?alifornia;114 761;96,6
255;Clovis;?alifornia;114 584;62,7
256;Springfield;?llinois;11 423;155,7
257;Meridian;?daho;114 161;77,2
258;Westminster;?olorado;113 166;82,1
259;Costa Mesa;?alifornia;113 003;40,7
260;High Point;?orth Carolina;112 791;143,
261;Manchester;?ew Hampshire;112 673;85,7
262;Pueblo;?olorado;112 361;138,8
263;Lakeland;?lorida;112 136;170,7
264;Pompano Beach;?lorida;112 118;62,2
265;West Palm Beach;?lorida;111 955;142,7
266;Antioch;?alifornia;111 502;76,1
267;Everett;?ashington;111 475;86,2
268;Downey;?alifornia;111 126;32,1
269;Lowell;?assachusetts;110 997;35,2
270;Centennial;?olorado;110 937;76,4
271;Elgin;?llinois;110 849;96,9
272;Richmond;?alifornia;110 567;78,
273;Peoria;?llinois;110 417;124,8
274;Broken Arrow;?klahoma;110 198;159,8
275;Miami Gardens;?lorida;110 001;47,1
276;Billings;?ontana;109 577;113,2
277;Jurupa Valley;?alifornia;109 527;111,1
278;Sandy Springs;?eorgia;109 452;97,6
279;Gresham;?regon;109 381;60,3
280;Lewisville;?exas;109 212;95,1
281;Hillsboro;?regon;109 128;64,7
282;Ventura;?alifornia;109 106;56,5
283;Greeley;?olorado;108 649;123,8
284;Inglewood;?alifornia;108 151;23,6
285;Waterbury;?onnecticut;107 568;73,8
286;League City;?exas;107 536;132,6
287;Santa Maria;?alifornia;107 263;59,1
288;Tyler;?exas;106 985;146,6
289;Davie;?lorida;106 306;90,4
290;Lakewood;?ew Jersey;1 063;64,
291;Daly City;?alifornia;10 628;19,7
292;Boulder;?olorado;105 673;64,2
293;Allen;?exas;105 623;70,2
294;West Covina;?alifornia;105 101;41,4
295;Sparks;?evada;105 006;93,
296;Wichita Falls;?exas;104 683;187,
297;Green Bay;?isconsin;104 578;117,6
298;San Mateo;?alifornia;10 443;31,3
299;Norwalk;?alifornia;103 949;25,1
300;Rialto;?alifornia;103 526;57,8
301;Las Cruces;?ew Mexico;103 432;199,2
302;Chico;?alifornia;103 301;86,2
303;El Cajon;?alifornia;102 708;37,6
304;Burbank;?alifornia;102 511;45,1
305;South Bend;?ndiana;102 026;107,2
306;Renton;?ashington;101 751;60,6
307;Vista;?alifornia;101 638;48,4
308;Davenport;?owa;10 159;162,9
309;Edinburg;?exas;10 117;97,4
310;Tuscaloosa;?labama;101 129;185,7
311;Carmel;?ndiana;101 068;123,
312;Spokane Valley;?ashington;10 106;97,6
313;San Angelo;?exas;101 004;155,1
314;Vacaville;?alifornia;10 067;75,1
315;Clinton;?ichigan;100 471;72,8
316;Bend;?regon;100 421;85,7
317;Woodbridge;?ew Jersey;100 145;60,3
